# Logfile created on 2026-09-10 14:30:09 +0200 by logger.rb/v1.5.3
2026-09-10 14:30:09 +0200: Memory Usage (446088K) : baspoly_pin has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (446216K) : psd_drw has 30 polygons
2026-09-10 14:30:09 +0200: Memory Usage (446216K) : nldb_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (446344K) : digibnd_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (446344K) : via1_drw has 1668 polygons
2026-09-10 14:30:09 +0200: Memory Usage (446472K) : backmetal1_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (446472K) : backmetal1_pin has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (446600K) : backmetal1_mask has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (446600K) : backmetal1_filler has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (446728K) : backmetal1_nofill has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (446728K) : backmetal1_slit has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (446728K) : backmetal1_text has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (446856K) : backmetal1_opc has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (446856K) : backmetal1_noqrc has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (446984K) : backmetal1_res has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (446984K) : backmetal1_iprobe has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (447112K) : backmetal1_diffprb has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (447112K) : backpassiv_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (447240K) : res_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (447240K) : sram_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (447368K) : trans_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (447368K) : ind_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (447496K) : ind_pin has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (447496K) : ind_text has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (447624K) : salblock_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (447752K) : via2_drw has 1448 polygons
2026-09-10 14:30:09 +0200: Memory Usage (447752K) : metal3_drw has 19 polygons
2026-09-10 14:30:09 +0200: Memory Usage (447880K) : metal3_pin has 9 polygons
2026-09-10 14:30:09 +0200: Memory Usage (447880K) : metal3_mask has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (448008K) : metal3_filler has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (448008K) : metal3_nofill has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (448136K) : metal3_slit has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (448136K) : metal3_text has 9 polygons
2026-09-10 14:30:09 +0200: Memory Usage (448264K) : metal3_opc has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (448264K) : metal3_noqrc has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (448264K) : metal3_res has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (448392K) : metal3_iprobe has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (448392K) : metal3_diffprb has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (448520K) : nwell_drw has 21 polygons
2026-09-10 14:30:09 +0200: Memory Usage (448648K) : nwell_pin has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (448648K) : nbulay_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (448776K) : nbulay_pin has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (448776K) : nbulay_block has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (448904K) : emwind_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (448904K) : emwind_opc has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (448904K) : deepco_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (449032K) : deepco_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (449032K) : mim_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (449160K) : edgeseal_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (449160K) : edgeseal_bound has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (449288K) : substrate_drw has 19 polygons
2026-09-10 14:30:09 +0200: Memory Usage (449416K) : substrate_text has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (449416K) : dfpad_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (449416K) : dfpad_pillar has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (449544K) : dfpad_sbump has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (449672K) : thickgateox_drw has 4 polygons
2026-09-10 14:30:09 +0200: Memory Usage (449672K) : pldb_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (449800K) : pwell_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (449800K) : pwell_pin has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (449928K) : pwell_block has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (449928K) : ic_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (449928K) : via3_drw has 2087 polygons
2026-09-10 14:30:09 +0200: Memory Usage (450056K) : metal4_drw has 8 polygons
2026-09-10 14:30:09 +0200: Memory Usage (450184K) : metal4_pin has 8 polygons
2026-09-10 14:30:09 +0200: Memory Usage (450184K) : metal4_mask has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (450184K) : metal4_filler has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (450312K) : metal4_nofill has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (450312K) : metal4_slit has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (450440K) : metal4_text has 8 polygons
2026-09-10 14:30:09 +0200: Memory Usage (450440K) : metal4_opc has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (450440K) : metal4_noqrc has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (450568K) : metal4_res has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (450568K) : metal4_iprobe has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (450696K) : metal4_diffprb has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (450696K) : heattrans_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (450696K) : heatres_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (450824K) : pempoly_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (450824K) : fbe_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (450952K) : empoly_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (450952K) : ldmos_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (451080K) : pbiwind_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (451080K) : digisub_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (451080K) : nodrc_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (451208K) : text_drw has 13 polygons
2026-09-10 14:30:09 +0200: Memory Usage (451208K) : via4_drw has 2371 polygons
2026-09-10 14:30:09 +0200: Memory Usage (451336K) : metal5_drw has 8 polygons
2026-09-10 14:30:09 +0200: Memory Usage (451464K) : metal5_pin has 8 polygons
2026-09-10 14:30:09 +0200: Memory Usage (451464K) : metal5_mask has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (451464K) : metal5_filler has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (451592K) : metal5_nofill has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (451592K) : metal5_slit has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (451720K) : metal5_text has 8 polygons
2026-09-10 14:30:09 +0200: Memory Usage (451720K) : metal5_opc has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (451848K) : metal5_noqrc has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (451848K) : metal5_res has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (451848K) : metal5_iprobe has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (451848K) : metal5_diffprb has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (451976K) : radhard_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (451976K) : memcap_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (452104K) : varicap_drw has 0 polygons
