buffer	original_net	load_pin
eco_sram_cap_b1_d17	net5440	i_croc_soc/i_croc/_6606_/A1
eco_sram_cap_b1_d18	net5439	i_croc_soc/i_croc/_6803_/A
eco_sram_cap_b1_d18	net5439	i_croc_soc/i_croc/_6171_/A1
eco_sram_cap_b1_d18	net5439	i_croc_soc/i_croc/_7167_/A
eco_sram_cap_b1_d18	net5439	i_croc_soc/i_croc/_6610_/A
eco_sram_cap_b1_d19	net5438	i_croc_soc/i_croc/_6807_/A
eco_sram_cap_b1_d19	net5438	i_croc_soc/i_croc/_6184_/A1
eco_sram_cap_b1_d19	net5438	i_croc_soc/i_croc/_7163_/A
eco_sram_cap_b1_d19	net5438	i_croc_soc/i_croc/_6614_/A
eco_sram_cap_b1_d20	net5436	i_croc_soc/i_croc/_6812_/A
eco_sram_cap_b1_d20	net5436	i_croc_soc/i_croc/_6210_/A1
eco_sram_cap_b1_d20	net5436	i_croc_soc/i_croc/_7158_/A
eco_sram_cap_b1_d20	net5436	i_croc_soc/i_croc/_6619_/A
eco_sram_cap_b1_d21	net5435	i_croc_soc/i_croc/_6817_/A1
eco_sram_cap_b1_d21	net5435	i_croc_soc/i_croc/_7154_/A1
eco_sram_cap_b1_d21	net5435	i_croc_soc/i_croc/_6223_/A1
eco_sram_cap_b1_d21	net5435	i_croc_soc/i_croc/_6624_/A1
eco_sram_cap_b1_d22	net5434	i_croc_soc/i_croc/_6821_/A
eco_sram_cap_b1_d22	net5434	i_croc_soc/i_croc/_6238_/A1
eco_sram_cap_b1_d22	net5434	i_croc_soc/i_croc/_7310_/A
eco_sram_cap_b1_d22	net5434	i_croc_soc/i_croc/_6628_/A
eco_sram_cap_b1_d23	net5433	i_croc_soc/i_croc/_6826_/A
eco_sram_cap_b1_d23	net5433	i_croc_soc/i_croc/_6250_/A1
eco_sram_cap_b1_d23	net5433	i_croc_soc/i_croc/_7306_/A
eco_sram_cap_b1_d23	net5433	i_croc_soc/i_croc/_6633_/A
eco_sram_cap_b1_d24	net5432	i_croc_soc/i_croc/_6833_/A1
eco_sram_cap_b1_d24	net5432	i_croc_soc/i_croc/_7302_/A1
eco_sram_cap_b1_d24	net5432	i_croc_soc/i_croc/_6263_/A1
eco_sram_cap_b1_d24	net5432	i_croc_soc/i_croc/_6640_/A1
eco_sram_cap_b1_d25	net5431	i_croc_soc/i_croc/_6837_/A
eco_sram_cap_b1_d25	net5431	i_croc_soc/i_croc/_6279_/A1
eco_sram_cap_b1_d25	net5431	i_croc_soc/i_croc/_7297_/A
eco_sram_cap_b1_d25	net5431	i_croc_soc/i_croc/_6644_/A
eco_sram_cap_b1_d26	net5430	i_croc_soc/i_croc/_6842_/A1
eco_sram_cap_b1_d26	net5430	i_croc_soc/i_croc/_7293_/A1
eco_sram_cap_b1_d26	net5430	i_croc_soc/i_croc/_6292_/A1
eco_sram_cap_b1_d26	net5430	i_croc_soc/i_croc/_6649_/A1
eco_sram_cap_b1_d27	net5429	i_croc_soc/i_croc/_6846_/A
eco_sram_cap_b1_d27	net5429	i_croc_soc/i_croc/_6304_/A1
eco_sram_cap_b1_d27	net5429	i_croc_soc/i_croc/_7288_/A
eco_sram_cap_b1_d27	net5429	i_croc_soc/i_croc/_6653_/A
eco_sram_cap_b1_d28	net5428	i_croc_soc/i_croc/_6850_/A
eco_sram_cap_b1_d28	net5428	i_croc_soc/i_croc/_6316_/A1
eco_sram_cap_b1_d28	net5428	i_croc_soc/i_croc/_7253_/A
eco_sram_cap_b1_d28	net5428	i_croc_soc/i_croc/_6657_/A
eco_sram_cap_b1_d29	net5427	i_croc_soc/i_croc/_6854_/A
eco_sram_cap_b1_d29	net5427	i_croc_soc/i_croc/_6661_/A
eco_sram_cap_b1_d29	net5427	i_croc_soc/i_croc/_7201_/A
eco_sram_cap_b1_d29	net5427	i_croc_soc/i_croc/_6328_/A1
eco_sram_cap_b1_d30	net5425	i_croc_soc/i_croc/_6859_/A1
eco_sram_cap_b1_d30	net5425	i_croc_soc/i_croc/_7146_/A1
eco_sram_cap_b1_d30	net5425	i_croc_soc/i_croc/_6353_/A1
eco_sram_cap_b1_d30	net5425	i_croc_soc/i_croc/_6666_/A1
eco_sram_cap_b1_d31	net5424	i_croc_soc/i_croc/_6863_/A
eco_sram_cap_b1_d31	net5424	i_croc_soc/i_croc/_6670_/A
eco_sram_cap_b1_d31	net5424	i_croc_soc/i_croc/_7131_/A
eco_sram_cap_b1_d31	net5424	i_croc_soc/i_croc/_6365_/A1
