instance	pin	net	buffer	pin_center_x_dbu	macro_bottom_y_dbu
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[1]	net5437	eco_sram_cap_b1_d01	1207270	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[2]	net5426	eco_sram_cap_b1_d02	1218510	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[3]	net5423	eco_sram_cap_b1_d03	1229750	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[4]	net5422	eco_sram_cap_b1_d04	1240990	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[5]	net5421	eco_sram_cap_b1_d05	1252230	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[6]	net5420	eco_sram_cap_b1_d06	1263470	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[7]	net5419	eco_sram_cap_b1_d07	1274710	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[8]	net5418	eco_sram_cap_b1_d08	1285950	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[9]	net5417	eco_sram_cap_b1_d09	1297190	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[10]	net5447	eco_sram_cap_b1_d10	1308430	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[11]	net5446	eco_sram_cap_b1_d11	1319670	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[12]	net5445	eco_sram_cap_b1_d12	1330910	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[13]	net5444	eco_sram_cap_b1_d13	1342150	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[14]	net5443	eco_sram_cap_b1_d14	1353390	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[15]	net5442	eco_sram_cap_b1_d15	1364630	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[16]	net5441	eco_sram_cap_b1_d16	1422570	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[17]	net5440	eco_sram_cap_b1_d17	1433810	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[18]	net5439	eco_sram_cap_b1_d18	1445050	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[19]	net5438	eco_sram_cap_b1_d19	1456290	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[20]	net5436	eco_sram_cap_b1_d20	1467530	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[21]	net5435	eco_sram_cap_b1_d21	1478770	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[22]	net5434	eco_sram_cap_b1_d22	1490010	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[23]	net5433	eco_sram_cap_b1_d23	1501250	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[24]	net5432	eco_sram_cap_b1_d24	1512490	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[25]	net5431	eco_sram_cap_b1_d25	1523730	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[26]	net5430	eco_sram_cap_b1_d26	1534970	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[27]	net5429	eco_sram_cap_b1_d27	1546210	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[28]	net5428	eco_sram_cap_b1_d28	1557450	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[29]	net5427	eco_sram_cap_b1_d29	1568690	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[30]	net5425	eco_sram_cap_b1_d30	1579930	1410280
i_croc_soc/i_croc/gen_sram_bank\[1\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[31]	net5424	eco_sram_cap_b1_d31	1591170	1410280
